GrLivArea,SalePrice
1710,208500
1262,181500
1786,223500
1717,140000
2198,250000
1362,143000
1694,307000
2090,200000
1774,129900
1077,118000
1040,129500
2324,345000
912,144000
1494,279500
1253,157000
854,132000
1004,149000
1296,90000
1114,159000
1339,139000
2376,325300
1108,139400
1795,230000
1060,129900
1060,154000
1600,256300
900,134800
1704,306000
1600,207500
520,68500
1317,40000
1228,149350
1234,179900
1700,165500
1561,277500
2452,309000
1097,145000
1297,153000
1057,109000
1152,82000
1324,160000
1328,170000
884,144000
938,130250
1150,141000
1752,319900
2149,239686
1656,249700
1452,113000
955,127000
1470,177000
1176,114500
816,110000
1842,385000
1360,130000
1425,180500
1739,172500
1720,196500
2945,438780
780,124900
1158,158000
1111,101000
1370,202500
1710,140000
2034,219500
2473,317000
2207,180000
1479,226000
747,80000
2287,225000
2223,244000
845,129500
1718,185000
1086,144900
1605,107400
988,91000
952,135750
1285,127000
1768,136500
1230,110000
2142,193500
1337,153500
1563,245000
1065,126500
1474,168500
2417,260000
1560,174000
1224,164500
1526,85000
990,123600
1040,109900
1235,98600
964,163500
2291,133900
1786,204750
1470,185000
1588,214000
960,94750
835,83000
1225,128950
1610,205000
1732,178000
1535,118964
1226,198900
1818,169500
1992,250000
1047,100000
789,115000
1517,115000
1844,190000
